input,output
Benchmark Assessment,Benchmark Assessment
Good strategies you can apply to participate in online or in-person meetings include which of the following? (Check all that apply),Good strategies you can apply to participate in online or in-person meetings include which of the following? (Check all that apply)
Follow up with your supervisor after the meeting to share your ideas,Follow up with your supervisor after the meeting to share your ideas
"Raise your hand, whether real of virtual, to indicate you would like to contribute","Raise your hand, whether real of virtual, to indicate you would like to contribute"
Sit and wait until you are asked for your opinion,Sit and wait until you are asked for your opinion
"Wait for a brief pause, this is a natural opportunity to jump into the conversation","Wait for a brief pause, this is a natural opportunity to jump into the conversation"
How can you post online with a focus on personal branding? (Check all that apply),How can you post online with a focus on personal branding? (Check all that apply)
"Be authentic, but filter out anything that might be considered unprofessional","Be authentic, but filter out anything that might be considered unprofessional"
Share content relevant to your followers and add your own spin,Share content relevant to your followers and add your own spin
"In a video interview, positive and engaged body language includes which of the following? (Check all that apply)","In a video interview, positive and engaged body language includes which of the following? (Check all that apply)"
Arms unfolded,Arms unfolded
Facing your screen or monitor directly,Facing your screen or monitor directly
Maintaining eye contact with the speaker(s),Maintaining eye contact with the speaker(s)
Nodding in agreement on relevant points,Nodding in agreement on relevant points
Smiling,Smiling
"In Canada, your resume should typically include which of the following components? (Check all that apply)","In Canada, your resume should typically include which of the following components? (Check all that apply)"
A professional summary,A professional summary
"Past work experience with timelines, titles and the details of your work","Past work experience with timelines, titles and the details of your work"
Your email address and phone number,Your email address and phone number
Your name,Your name
"Your volunteer experience, if any","Your volunteer experience, if any"
"In organizational culture terms, a Market-Oriented Culture describes a workplace that is:","In organizational culture terms, a Market-Oriented Culture describes a workplace that is:"
"Results oriented, with a focus on competition, achievement, and “getting the job done”","Results oriented, with a focus on competition, achievement, and “getting the job done”"
What are best practices when leaving voicemail for a business contact? (Check all that apply),What are best practices when leaving voicemail for a business contact? (Check all that apply)
Ask them to contact you and provide the best way to reach you,Ask them to contact you and provide the best way to reach you
Be friendly and show your personality by leaving a hilarious joke,Be friendly and show your personality by leaving a hilarious joke
Provide lengthy details on the problem you are calling about,Provide lengthy details on the problem you are calling about
"Say your name, where you work and why you are calling","Say your name, where you work and why you are calling"
Speak slowly and clearly,Speak slowly and clearly
What is effective networking? (Check all that apply),What is effective networking? (Check all that apply)
Connecting and finding ways to support one another,Connecting and finding ways to support one another
Telling people what you need until you find someone who can help you,Telling people what you need until you find someone who can help you
What is the STAR technique used for?,What is the STAR technique used for?
Securing informational interviews at a company you are interested in,Securing informational interviews at a company you are interested in
"When providing feedback to someone, you should:","When providing feedback to someone, you should:"
Talk about the situation and its impact without ever making it personal,Talk about the situation and its impact without ever making it personal
Which of these options best describes thought leadership?,Which of these options best describes thought leadership?
Deciding your team’s thoughts on specific issues,Deciding your team’s thoughts on specific issues
Module 7: Career progression (Online v.7),Module 7: Career progression (Online v.7)
Final Assessment,Final Assessment
"Ask yourself, will my post add value to my network?","Ask yourself, will my post add value to my network?"
"Family-like, with a focus on mentoring, nurturing, and “doing things together”","Family-like, with a focus on mentoring, nurturing, and “doing things together”"
What are the best practices when leaving voicemail for a business contact? (Check all that apply),What are the best practices when leaving voicemail for a business contact? (Check all that apply)
"Creating relationships that you will follow-up on afterwards in an authentic way, with either an email, phone call, coffee, or lunch","Creating relationships that you will follow-up on afterwards in an authentic way, with either an email, phone call, coffee, or lunch"
Demonstrating active listening in an interview,Demonstrating active listening in an interview
All of the above,All of the above
Module 7: Career progression (Blended v.5),Module 7: Career progression (Blended v.5)
Final Assessment,Final Assessment
"Structured and controlled, with a focus on efficiency, stability and “doing things right”","Structured and controlled, with a focus on efficiency, stability and “doing things right”"
Focusing on getting as many business cards as possible from an event to build your network,Focusing on getting as many business cards as possible from an event to build your network
Leaning back away from your screen,Leaning back away from your screen
Using direct examples from your past work experience to answer behavioural interview questions,Using direct examples from your past work experience to answer behavioural interview questions
"Dynamic and entrepreneurial, with a focus on risk-taking, innovation, and “doing things first”","Dynamic and entrepreneurial, with a focus on risk-taking, innovation, and “doing things first”"
Being considered an authoritative expert in your field,Being considered an authoritative expert in your field
Challenge people in a direct way on platforms like Twitter to show that you are more of an expert than they are,Challenge people in a direct way on platforms like Twitter to show that you are more of an expert than they are
01. Getting started (Blended v.1),01. Getting started (Blended v.1)
Tell them all the things they are doing wrong so they can improve,Tell them all the things they are doing wrong so they can improve
01. Introduction (Programme Français - Animateur),01. Introduction (French program - animator)
Évaluation initiale,Benchmark Assessment
À quoi sert la technique STAR ?,What is the star technique for?
Utiliser des exemples directement issus de vos expériences professionnelles pour répondre aux questions comportementales pendant un entretien,Use examples directly from your professional experiences to answer behavior questions during an interview
"Au Canada, quels éléments votre CV doit-il généralement inclure ? (plusieurs réponses)","In Canada, what elements should your CV generally include?(several answers)"
Un résumé professionnel,A professional summary
"Vos expériences de bénévolat, le cas échéant","Your volunteer experiences, if applicable"
"Vos expériences professionnelles antérieures avec les dates, les libellés de postes et les détails de vos responsabilités","Your previous professional experiences with dates, posts and details of your responsibilities"
Votre adresse courriel et votre numéro de téléphone,Your email address and phone number
Votre nom,Your name
En quoi consiste un réseautage efficace ? (plusieurs réponses),What is effective networking?(several answers)
"Créer des relations que vous entretiendrez ensuite de manière authentique, en envoyant un courriel, en téléphonant, en prenant un café ou un déjeuner","Create relationships that you will then maintain authentically, by sending an email, by calling, taking coffee or lunch"
Se mettre en relation et trouver des moyens de se soutenir mutuellement,Get in touch and find ways to support each other
"En termes de culture organisationnelle, une Culture axée sur le Marché décrit un environnement de travail qui est :","In terms of organizational culture, a market -oriented culture describes a working environment that is:"
"Structuré et contrôlé, où l'accent est mis sur l'efficacité, la stabilité et où la priorité est de ""faire les choses correctement ""","Structured and controlled, where emphasis is on efficiency, stability and where priority is to ""do things correctly"""
Laquelle de ces options décrit le mieux le Leadership éclairé (Thought Leadership) ?,Which of these options best describes enlightened leadership (Thought Leadership)?
Toutes les réponses ci-dessus,All answers above
"Lors d’un entretien par vidéo, vous manifesterez un langage corporel positif et intéressé en : (plusieurs réponses)","During an interview by video, you will show a positive and interested body language in: (several answers)"
Acquiesçant pour montrer votre accord sur des points pertinents,Acquies to show your agreement on relevant points
Faisant face à votre écran,Facing your screen
Maintenant un contact visuel avec votre interlocuteur.rice,Now visual contact with your interlocutor.
Souriant,Smiling
"Lorsque vous donnez un feedback à quelqu'un, vous devez :","When you give someone a feedback, you must:"
Parler de la situation et de ses impacts sans jamais en faire une affaire personnelle,Talk about the situation and its impacts without ever making it a personal deal
"Lorsque vous laissez un message vocal à un contact professionnel, vous devez : (plusieurs réponses)","When you leave a voice message to a professional contact, you must: (several answers)"
"Donner votre nom, celui de l’entreprise dans laquelle vous travaillez, et la raison de votre appel","Give your name, that of the company in which you work, and the reason for your call"
Expliquer en détails l’objet de votre appel,Explain in detail the object of your call
Lui demander comment il.elle va,Ask him how it goes
Lui demander de vous contacter en précisant la meilleure façon de vous joindre,Ask him to contact you by specifying the best way to reach you
Parler lentement et distinctement,Speak slowly and distinctly
"Lorsque vous publiez des contenus en ligne visant à mettre en valeur votre marque personnelle, vous devez : (Plusieurs réponses)","When you publish online content to enhance your personal brand, you must: (several answers)"
"Être authentique, mais éviter tout ce qui pourrait être perçu comme non-professionnel","Be authentic, but avoid anything that could be perceived as non-professional"
"Partager un contenu qui soit pertinent pour votre communauté, en y ajoutant votre propre point de vue","Share content that is relevant to your community, adding your own point of view"
Vous demander si votre contenu apportera une valeur ajoutée à votre réseau,Ask you if your content will bring added value to your network
"Parmi les stratégies suivantes, lesquelles pouvez-vous utiliser lorsque vous participez à des réunions en ligne ou en personne ? (plusieurs réponses)","Among the following strategies, which can you use when you participate in online or in person meetings?(several answers)"
"Lever la main, qu'elle soit réelle ou virtuelle, pour indiquer que vous voulez prendre la parole","Raise your hands, whether real or virtual, to indicate that you want to speak"
Attendre une brève pause et en profiter pour intervenir naturellement dans la conversation,Wait a brief break and take the opportunity to intervene naturally in the conversation
"Faire un suivi avec votre supérieur.e après la réunion, pour partager vos idées","Follow up with your superior after the meeting, to share your ideas"
01. Getting started (Individual v.1),01. Getting started (Individual v.1)
Module 7: Career progression (Individual v.6),Module 7: Career progression (Individual v.6)
Ensuring that your resume is long enough,Ensuring that your resume is long enough
Your marital status,Your marital status
"Speak for more time than other people, you are the expert","Speak for more time than other people, you are the expert"
Checking your phone,Checking your phone
Ask them how they are doing,Ask them how they are doing
Never leave voicemails for a business contact,Never leave voicemails for a business contact
Your photo,Your photo
01. Introduction V.4,01. Introduction V.4
"Dynamique et entrepreneurial, où l'accent est mis sur la prise de risque, l'innovation et où la priorité est de ""faire les choses en premier""","Dynamic and entrepreneurial, where the emphasis is on risk taking, innovation and where priority is to ""do things first"""
Être considéré.e comme un.e expert.e faisant autorité dans votre domaine,Be considered as an authority in your field
"Vous penchant en arrière, loin de l'écran","You leaning back, far from the screen"
Module 7 : Progression de carrière V.4,Module 7: Career progression v.4
Évaluation finale,Final Assessment
"Axé sur les résultats, où l'accent est mis sur la compétition, la réussite et où la priorité est de “faire les choses""","Focused on results, where the emphasis is on competition, success and where priority is to ""do things"""
01. Getting started (NU-Online-12),01. Getting started (NU-Online-12)
Module 7: Career progression (NU-Online-12),Module 7: Career progression (NU-Online-12)
Being a valuable contributor to a brainstorming session,Being a valuable contributor to a brainstorming session
Scowling,Scowling
Faire en sorte de récupérer le plus grand nombre possible de cartes d’affaires pendant un événement pour développer votre réseau,Make sure to recover as many business cards as possible during an event to develop your network
Contribuer de manière pertinente à une session de brainstorming,Contribute in a relevant way to a brainstorming session
Gardant les bras étendus le long du corps,Keeping the arms extended along the body
Rester assis.e et attendre que l'on vous demande votre avis,Stay sitting and wait until you are asked for your opinion
Dire aux gens ce dont vous avez besoin jusqu'à ce que vous trouviez quelqu'un qui puisse vous aider,Tell people what you need until you find someone who can help you
"Similaire à une famille, où l'accent est mis sur le mentorat, l’épanouissement et où la priorité est de “faire les choses ensemble""","Similar to a family, where the emphasis is on mentoring, development and where priority is to ""do things together"""
Make sure to buy them coffee from Tim Horton’s to put them at ease and make them like you,Make sure to buy them coffee from Tim Horton’s to put them at ease and make them like you
Provoquer les gens de manière directe sur des plateformes comme Twitter pour montrer que vous avez davantage d’expertise,Provoke people directly on platforms like Twitter to show that you have more expertise
Démontrer une écoute active lors d'un entretien,Demonstrate active listening during an interview
Lui dire tout ce qu’il.elle fait de mal pour qu'il.elle puisse s'améliorer,Tell him all that she is hurting so that she can improve
How many kids you have,How many kids you have
Module 7: Career progression (Blended-NU),Module 7: Career progression (Blended-NU)
Être amical.e et montrer votre personnalité en racontant une histoire drôle,Be friendly and show your personality by telling a funny story
Ne jamais laisser de message vocal à un contact professionnel,Never leave a vocal message to professional contact
Find an opportunity to tell them in front of others,Find an opportunity to tell them in front of others
"Parler davantage que les autres, c’est vous l’expert.e",Talking more than others is you the expert
Module 7 : Progression de carrière V.5,Module 7: Career progression v.5
01. Getting started (Blended-NU),01. Getting started (Blended-NU)
Décider des opinions de votre équipe sur des problèmes spécifiques,Decide your team's opinions on specific problems
01. Introduction V.3,01. Introduction V.3
Module 7 : Progression de carrière V.3,Module 7: Career progression v.3
01. Introduction V.5,01. Introduction V.5
S'assurer que votre CV est suffisamment long,Make sure your CV is long enough
Module 7: Career progression (Blended v.4),Module 7: Career progression (Blended v.4)
Module 7: Career progression (Public),Module 7: Career progression (Public)
Module 7: Career progression (Online v.6),Module 7: Career progression (Online v.6)
Module 7: Career progression (Individual v.5),Module 7: Career progression (Individual v.5)
Module 1: The value of your existing skills and experience (Online v.3),Module 1: The value of your existing skills and experience (Online v.3)
1. What is your overall rating for Module 1?,1. What is your overall rating for Module 1?
3. What was your favourite part of Module 1?,3. What was your favourite part of Module 1?
7 Transferable skills,7 Transferable skills
"2. If 1 star = 1 hour, how many hours did it take you to complete Module 1?","2. If 1 star = 1 hour, how many hours did it take you to complete Module 1?"
5. Please share any additional comments on Module 1,5. Please share any additional comments on Module 1
4. What would improve Module 1?,4. What would improve Module 1?
Module 2: Personal branding (Online v.4),Module 2: Personal branding (Online v.4)
"2. If 1 star = 1 hour, how many hours did it take you to complete Module 2?","2. If 1 star = 1 hour, how many hours did it take you to complete Module 2?"
5. Please share any additional comments on Module 2,5. Please share any additional comments on Module 2
4. What would improve Module 2?,4. What would improve Module 2?
Nothing,Nothing
3. What was your favourite part of Module 2?,3. What was your favourite part of Module 2?
Introducing how to get interviews properly.,Introducing how to get interviews properly.
1. What is your overall rating for Module 2?,1. What is your overall rating for Module 2?
Module 3: Developing your professional community of support (Online v.4),Module 3: Developing your professional community of support (Online v.4)
3. What was your favourite part of Module 3?,3. What was your favourite part of Module 3?
Finding volunteering jobs,Finding volunteering jobs
1. What is your overall rating for Module 3?,1. What is your overall rating for Module 3?
"2. If 1 star = 1 hour, how many hours did it take you to complete Module 3?","2. If 1 star = 1 hour, how many hours did it take you to complete Module 3?"
5. Please share any additional comments on Module 3,5. Please share any additional comments on Module 3
4. What would improve Module 3?,4. What would improve Module 3?
Module 4: Building your job search and interview soft skills (Online v.6),Module 4: Building your job search and interview soft skills (Online v.6)
1. What is your overall rating for Module 4?,1. What is your overall rating for Module 4?
5. Please share any additional comments on Module 4,5. Please share any additional comments on Module 4
"I am very satisfied with all resources, especially in links related extra information so that I can see more relevant information I need.","I am very satisfied with all resources, especially in links related extra information so that I can see more relevant information I need."
3. What was your favourite part of Module 4?,3. What was your favourite part of Module 4?
Interview skills n attitude,Interview skills and attitude
"2. If 1 star = 1 hour, how many hours did it take you to complete Module 4?","2. If 1 star = 1 hour, how many hours did it take you to complete Module 4?"
4. What would improve Module 4?,4. What would improve Module 4?
Proving more voice contents will make my self studying better and get concentration.,Proving more voice contents will make my self studying better and get concentration.
Module 5: Professional communication (Online v.5),Module 5: Professional communication (Online v.5)
1. What is your overall rating for Module 5?,1. What is your overall rating for Module 5?
